Name,Ticker,Ticker_TSX
CI Short Term Government Bond Index Class ETF,FGB,FGB.TO
CI Tech Giants Covered Call ETF,TXF,TXF.TO
CI U.S. & Canada Lifeco Covered Call ETF,FLI,FLI.TO
CI U.S. Minimum Downside Volatility Index ETF,CUDV,CUDV.TO
CI U.S. Money Market ETF,UMNY,UMNY.TO
CI U.S. Trendleaders Index ETF,SID,SID.TO
CI Utilities Giants Covered Call ETF,CUTL,CUTL.TO
CI WisdomTree Canada Quality Dividend Growth Index ETF,DGRC,DGRC.TO
CI WisdomTree Emerging Markets Dividend Index ETF,EMV,EMV.TO
CI WisdomTree Europe Hedged Equity Index ETF,EHE,EHE.TO
CI WisdomTree International Quality Dividend Growth Index ETF,IQD,IQD.TO
CI WisdomTree International Quality Dividend Growth Variably Hedged Index ETF,DQI,DQI.TO
CI WisdomTree Japan Equity Index ETF,JAPN,JAPN.TO
CI WisdomTree U.S. MidCap Dividend Index ETF,UMI,UMI.TO
CI WisdomTree U.S. Quality Dividend Growth Index ETF,DGR,DGR.TO
CI WisdomTree U.S. Quality Dividend Growth Variably Hedged Index ETF,DQD,DQD.TO
CI Yield Enhanced Canada Aggregate Bond Index ETF,CAGG,CAGG.TO
CI Yield Enhanced Canada Short-Term Aggregate Bond Index ETF,CAGS,CAGS.TO
